Generation: 3
1, 11, -211, {'epochs': 26, 'units1': 154, 'act1': 'elu', 'units2': 239, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 253, 'units1': 180, 'act1': 'tanh', 'units2': 237, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 52, 'units1': 92, 'act1': 'selu', 'units2': 185, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 62, 'units1': 85, 'act1': 'relu', 'units2': 184, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 19, -210, {'epochs': 221, 'units1': 202, 'act1': 'linear', 'units2': 120, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 252, 'units1': 187, 'act1': 'tanh', 'units2': 226, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 254, 'units1': 179, 'act1': 'tanh', 'units2': 226, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -198, {'epochs': 124, 'units1': 38, 'act1': 'linear', 'units2': 213, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 46, 'units1': 215, 'act1': 'selu', 'units2': 485, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -1195, {'epochs': 1, 'units1': 225, 'act1': 'elu', 'units2': 127, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 124, 'units1': 251, 'act1': 'tanh', 'units2': 178, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 93, {'epochs': 202, 'units1': 135, 'act1': 'elu', 'units2': 24, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 26, 'units1': 157, 'act1': 'elu', 'units2': 230, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
2, 13, 296, {'epochs': 125, 'units1': 244, 'act1': 'tanh', 'units2': 189, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 60, 'units1': 91, 'act1': 'relu', 'units2': 178, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 196, 'units1': 140, 'act1': 'elu', 'units2': 25, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 94, 'units1': 48, 'act1': 'tanh', 'units2': 105, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
