Generation: 4
1, 200, -574, {'epochs': 191, 'units1': 19, 'act1': 'selu', 'units2': 89, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
8, 107, 3348, {'epochs': 226, 'units1': 132, 'act1': 'tanh', 'units2': 113, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -210, {'epochs': 199, 'units1': 189, 'act1': 'linear', 'units2': 71, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 87, {'epochs': 37, 'units1': 81, 'act1': 'selu', 'units2': 52, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 10, 'units1': 166, 'act1': 'elu', 'units2': 181, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 229, 'units1': 49, 'act1': 'elu', 'units2': 84, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 0, 'units1': 161, 'act1': 'elu', 'units2': 178, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 40, 'units1': 86, 'act1': 'selu', 'units2': 62, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 176, 'units1': 96, 'act1': 'relu', 'units2': 213, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 41, 'units1': 174, 'act1': 'elu', 'units2': 167, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 140, 'units1': 207, 'act1': 'linear', 'units2': 136, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 31, 'units1': 54, 'act1': 'tanh', 'units2': 49, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 171, 'units1': 25, 'act1': 'selu', 'units2': 108, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 183, 'units1': 233, 'act1': 'selu', 'units2': 76, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 30, -206, {'epochs': 128, 'units1': 201, 'act1': 'linear', 'units2': 132, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 215, 'units1': 195, 'act1': 'relu', 'units2': 253, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
