Generation: 5
1, 9, -197, {'epochs': 232, 'units1': 28, 'act1': 'tanh', 'units2': 44, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 241, 'units1': 213, 'act1': 'selu', 'units2': 126, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -185, {'epochs': 76, 'units1': 126, 'act1': 'relu', 'units2': 134, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 216, -61371, {'epochs': 56, 'units1': 45, 'act1': 'softmax', 'units2': 93, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 108, 'units1': 45, 'act1': 'tanh', 'units2': 206, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 245, 'units1': 93, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 134, 'units1': 141, 'act1': 'linear', 'units2': 134, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 169, 'units1': 252, 'act1': 'elu', 'units2': 21, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -210, {'epochs': 266, 'units1': 318, 'act1': 'selu', 'units2': 203, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 10, 308, {'epochs': 129, 'units1': 106, 'act1': 'relu', 'units2': 132, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 40, 'units1': 45, 'act1': 'selu', 'units2': 80, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 232, 'units1': 217, 'act1': 'selu', 'units2': 127, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 119, {'epochs': 201, 'units1': 239, 'act1': 'selu', 'units2': 100, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
