Generation: 1
1, 200, 96, {'epochs': 7, 'units1': 10, 'act1': 'softmax', 'units2': 16, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
5, 72, 1793, {'epochs': 5, 'units1': 11, 'act1': 'linear', 'units2': 6, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 14, 'units1': 5, 'act1': 'linear', 'units2': 2, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 14, 'units1': 2, 'act1': 'tanh', 'units2': 24, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 12, -197, {'epochs': 4, 'units1': 4, 'act1': 'elu', 'units2': 28, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 93, {'epochs': 8, 'units1': 8, 'act1': 'selu', 'units2': 14, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 8, 'units1': 11, 'act1': 'elu', 'units2': 6, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 8, 'units1': 10, 'act1': 'sigmoid', 'units2': 34, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 5, 'units1': 11, 'act1': 'elu', 'units2': 38, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 10, 'units1': 5, 'act1': 'linear', 'units2': 16, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 5, 'units1': 4, 'act1': 'elu', 'units2': 10, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 102, {'epochs': 4, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 3, 'units1': 2, 'act1': 'elu', 'units2': 12, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 6, 'units1': 9, 'act1': 'softmax', 'units2': 3, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 11, 'units1': 6, 'act1': 'softmax', 'units2': 6, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 12, 'units1': 9, 'act1': 'linear', 'units2': 6, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 11, 'units1': 5, 'act1': 'relu', 'units2': 3, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 69, -179, {'epochs': 12, 'units1': 4, 'act1': 'selu', 'units2': 48, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 105, {'epochs': 6, 'units1': 9, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 13, 'units1': 2, 'act1': 'softmax', 'units2': 9, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 35, 337, {'epochs': 3, 'units1': 13, 'act1': 'tanh', 'units2': 9, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 8, 'units1': 13, 'act1': 'softmax', 'units2': 15, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 20, -217, {'epochs': 9, 'units1': 2, 'act1': 'relu', 'units2': 35, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 6, 'units1': 12, 'act1': 'linear', 'units2': 21, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 111, {'epochs': 12, 'units1': 1, 'act1': 'selu', 'units2': 47, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
3, 66, 805, {'epochs': 14, 'units1': 8, 'act1': 'relu', 'units2': 20, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 7, 'units1': 9, 'act1': 'linear', 'units2': 37, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 114, {'epochs': 9, 'units1': 6, 'act1': 'selu', 'units2': 42, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 13, 'units1': 1, 'act1': 'sigmoid', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 114, {'epochs': 5, 'units1': 10, 'act1': 'softmax', 'units2': 47, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 2, 'units1': 10, 'act1': 'linear', 'units2': 7, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 2, 'units1': 5, 'act1': 'softmax', 'units2': 6, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 7, 'units1': 6, 'act1': 'sigmoid', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 11, -187, {'epochs': 3, 'units1': 4, 'act1': 'selu', 'units2': 46, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 2, 'units1': 2, 'act1': 'tanh', 'units2': 43, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 8, 'units1': 4, 'act1': 'relu', 'units2': 11, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 9, 'units1': 2, 'act1': 'softmax', 'units2': 19, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 9, 'units1': 10, 'act1': 'relu', 'units2': 15, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
