Generation: 18
1, 9, -212, {'epochs': 137, 'units1': 192, 'act1': 'linear', 'units2': 129, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
7, 424, 3134, {'epochs': 95, 'units1': 231, 'act1': 'elu', 'units2': 97, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 216, 646, {'epochs': 15, 'units1': 23, 'act1': 'linear', 'units2': 209, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 58, 332, {'epochs': 0, 'units1': 81, 'act1': 'tanh', 'units2': 130, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -196, {'epochs': 114, 'units1': 21, 'act1': 'tanh', 'units2': 145, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -218, {'epochs': 33, 'units1': 195, 'act1': 'elu', 'units2': 54, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 104, {'epochs': 319, 'units1': 252, 'act1': 'tanh', 'units2': 207, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 33, 'units1': 203, 'act1': 'linear', 'units2': 48, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -209, {'epochs': 31, 'units1': 177, 'act1': 'tanh', 'units2': 38, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 161, 'units1': 27, 'act1': 'selu', 'units2': 120, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
3, 49, 825, {'epochs': 41, 'units1': 167, 'act1': 'linear', 'units2': 166, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 10, 309, {'epochs': 167, 'units1': 108, 'act1': 'elu', 'units2': 59, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 174, 'units1': 26, 'act1': 'tanh', 'units2': 103, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 38, 'units1': 201, 'act1': 'elu', 'units2': 59, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 18, -194, {'epochs': 169, 'units1': 103, 'act1': 'linear', 'units2': 54, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 160, 'units1': 28, 'act1': 'tanh', 'units2': 111, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 116, -147, {'epochs': 225, 'units1': 131, 'act1': 'tanh', 'units2': 118, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 93, {'epochs': 164, 'units1': 98, 'act1': 'elu', 'units2': 52, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 9, 296, {'epochs': 86, 'units1': 144, 'act1': 'tanh', 'units2': 175, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -168, {'epochs': 175, 'units1': 103, 'act1': 'linear', 'units2': 49, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 11, -211, {'epochs': 115, 'units1': 23, 'act1': 'linear', 'units2': 153, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 114, 'units1': 5, 'act1': 'tanh', 'units2': 129, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 13, -175, {'epochs': 14, 'units1': 26, 'act1': 'linear', 'units2': 215, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 166, 'units1': 20, 'act1': 'selu', 'units2': 107, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -188, {'epochs': 14, 'units1': 186, 'act1': 'linear', 'units2': 135, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
10, 158, 4351, {'epochs': 160, 'units1': 24, 'act1': 'selu', 'units2': 105, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -191, {'epochs': 230, 'units1': 129, 'act1': 'tanh', 'units2': 114, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -475, {'epochs': 175, 'units1': 29, 'act1': 'tanh', 'units2': 98, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 81, 'units1': 147, 'act1': 'linear', 'units2': 166, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 160, 'units1': 28, 'act1': 'selu', 'units2': 111, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 33, 'units1': 91, 'act1': 'linear', 'units2': 146, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -535, {'epochs': 228, 'units1': 130, 'act1': 'tanh', 'units2': 116, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -208, {'epochs': 175, 'units1': 109, 'act1': 'linear', 'units2': 50, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 106, {'epochs': 118, 'units1': 73, 'act1': 'linear', 'units2': 187, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 15, 304, {'epochs': 83, 'units1': 224, 'act1': 'selu', 'units2': 87, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 207, 'units1': 161, 'act1': 'selu', 'units2': 214, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 100, {'epochs': 230, 'units1': 241, 'act1': 'tanh', 'units2': 114, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 73, -172, {'epochs': 47, 'units1': 193, 'act1': 'linear', 'units2': 54, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 212, 641, {'epochs': 22, 'units1': 185, 'act1': 'linear', 'units2': 75, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -210, {'epochs': 48, 'units1': 241, 'act1': 'elu', 'units2': 2, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 113, 'units1': 175, 'act1': 'relu', 'units2': 16, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 238, 'units1': 129, 'act1': 'tanh', 'units2': 116, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 90, 'units1': 77, 'act1': 'linear', 'units2': 44, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
