Generation: 1
1, 10, -213, {'epochs': 6, 'units1': 12, 'act1': 'elu', 'units2': 9, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 3, 'units1': 4, 'act1': 'elu', 'units2': 18, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 14, 'units1': 2, 'act1': 'tanh', 'units2': 16, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 84, {'epochs': 9, 'units1': 11, 'act1': 'relu', 'units2': 23, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 203, 196, {'epochs': 6, 'units1': 10, 'act1': 'relu', 'units2': 27, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
Generation: 2
1, 200, 99, {'epochs': 14, 'units1': 6, 'act1': 'selu', 'units2': 47, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 105, {'epochs': 3, 'units1': 11, 'act1': 'tanh', 'units2': 24, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 105, {'epochs': 13, 'units1': 6, 'act1': 'linear', 'units2': 15, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 12, 'units1': 3, 'act1': 'linear', 'units2': 37, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -209, {'epochs': 6, 'units1': 10, 'act1': 'relu', 'units2': 27, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 22, -168, {'epochs': 4, 'units1': 13, 'act1': 'selu', 'units2': 23, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 7, 'units1': 10, 'act1': 'selu', 'units2': 13, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 111, {'epochs': 5, 'units1': 6, 'act1': 'linear', 'units2': 14, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 105, {'epochs': 10, 'units1': 5, 'act1': 'elu', 'units2': 1, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 19, -198, {'epochs': 5, 'units1': 6, 'act1': 'selu', 'units2': 37, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 10, -210, {'epochs': 11, 'units1': 4, 'act1': 'tanh', 'units2': 36, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 13, -180, {'epochs': 11, 'units1': 11, 'act1': 'softmax', 'units2': 4, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 10, 'units1': 10, 'act1': 'tanh', 'units2': 33, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 13, 'units1': 4, 'act1': 'tanh', 'units2': 28, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 7, 'units1': 3, 'act1': 'linear', 'units2': 49, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
