Generation: 12
1, 200, 110, {'epochs': 11, 'units1': 187, 'act1': 'tanh', 'units2': 58, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
4, 221, 1628, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -203, {'epochs': 203, 'units1': 139, 'act1': 'selu', 'units2': 26, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 191, 'units1': 45, 'act1': 'elu', 'units2': 161, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 187, 'units1': 36, 'act1': 'selu', 'units2': 175, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -207, {'epochs': 255, 'units1': 189, 'act1': 'tanh', 'units2': 225, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 205, 'units1': 138, 'act1': 'selu', 'units2': 24, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -59907, {'epochs': 191, 'units1': 45, 'act1': 'selu', 'units2': 161, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
2, 24, 313, {'epochs': 221, 'units1': 170, 'act1': 'selu', 'units2': 152, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 20, -1164, {'epochs': 196, 'units1': 141, 'act1': 'elu', 'units2': 22, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 255, 'units1': 189, 'act1': 'tanh', 'units2': 225, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
8, 186, 3353, {'epochs': 187, 'units1': 36, 'act1': 'selu', 'units2': 175, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 198, 'units1': 132, 'act1': 'selu', 'units2': 23, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 110, {'epochs': 15, 'units1': 189, 'act1': 'selu', 'units2': 49, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 13, -210, {'epochs': 219, 'units1': 59, 'act1': 'tanh', 'units2': 154, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 303, 'units1': 329, 'act1': 'elu', 'units2': 57, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 251, 'units1': 187, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 203, 'units1': 132, 'act1': 'elu', 'units2': 31, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 36, 305, {'epochs': 205, 'units1': 139, 'act1': 'elu', 'units2': 22, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
