Generation: 2
1, 200, -63889, {'epochs': 75, 'units1': 168, 'act1': 'elu', 'units2': 20, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 221, 'units1': 12, 'act1': 'tanh', 'units2': 187, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 96, 'units1': 154, 'act1': 'elu', 'units2': 176, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
13, 204, 6007, {'epochs': 252, 'units1': 133, 'act1': 'linear', 'units2': 3, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 213, 'units1': 67, 'act1': 'softmax', 'units2': 43, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 206, -65393, {'epochs': 130, 'units1': 65, 'act1': 'elu', 'units2': 75, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 204, 'units1': 186, 'act1': 'relu', 'units2': 94, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 120, 'units1': 186, 'act1': 'linear', 'units2': 66, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 254, 'units1': 184, 'act1': 'relu', 'units2': 177, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 58, 'units1': 67, 'act1': 'linear', 'units2': 23, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 208, -58382, {'epochs': 119, 'units1': 123, 'act1': 'relu', 'units2': 31, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
