Generation: 15
1, 200, 116, {'epochs': 142, 'units1': 202, 'act1': 'linear', 'units2': 135, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 0, 'units1': 28, 'act1': 'linear', 'units2': 223, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 101, {'epochs': 33, 'units1': 91, 'act1': 'linear', 'units2': 144, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 11, 308, {'epochs': 32, 'units1': 81, 'act1': 'tanh', 'units2': 146, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 277, 'units1': 184, 'act1': 'selu', 'units2': 262, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
4, 257, 1228, {'epochs': 86, 'units1': 233, 'act1': 'selu', 'units2': 91, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 119, {'epochs': 25, 'units1': 183, 'act1': 'elu', 'units2': 70, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 242, 600, {'epochs': 31, 'units1': 177, 'act1': 'linear', 'units2': 70, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -194, {'epochs': 47, 'units1': 202, 'act1': 'elu', 'units2': 50, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 75, {'epochs': 31, 'units1': 177, 'act1': 'elu', 'units2': 70, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 318, 1745, {'epochs': 37, 'units1': 192, 'act1': 'linear', 'units2': 53, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 13, -207, {'epochs': 274, 'units1': 181, 'act1': 'tanh', 'units2': 289, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 13, -210, {'epochs': 52, 'units1': 170, 'act1': 'elu', 'units2': 216, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 208, -22, {'epochs': 37, 'units1': 175, 'act1': 'linear', 'units2': 163, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 13, -183, {'epochs': 116, 'units1': 162, 'act1': 'relu', 'units2': 20, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -535, {'epochs': 14, 'units1': 170, 'act1': 'tanh', 'units2': 183, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 45, 'units1': 93, 'act1': 'linear', 'units2': 157, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 0, 'units1': 184, 'act1': 'tanh', 'units2': 137, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
6, 91, 2353, {'epochs': 244, 'units1': 34, 'act1': 'linear', 'units2': 84, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 30, -188, {'epochs': 81, 'units1': 227, 'act1': 'tanh', 'units2': 86, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
