Generation: 30
1, 200, -551, {'epochs': 125, 'units1': 183, 'act1': 'selu', 'units2': 196, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -564, {'epochs': 224, 'units1': 9, 'act1': 'elu', 'units2': 185, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 74, 'units1': 180, 'act1': 'selu', 'units2': 134, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
4, 327, 1577, {'epochs': 96, 'units1': 185, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 26, -184, {'epochs': 106, 'units1': 180, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 13, -178, {'epochs': 32, 'units1': 137, 'act1': 'linear', 'units2': 25, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 70, 'units1': 176, 'act1': 'tanh', 'units2': 135, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 22, -195, {'epochs': 96, 'units1': 186, 'act1': 'tanh', 'units2': 191, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -198, {'epochs': 102, 'units1': 176, 'act1': 'selu', 'units2': 183, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 11, -184, {'epochs': 168, 'units1': 202, 'act1': 'tanh', 'units2': 188, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 116, 'units1': 208, 'act1': 'selu', 'units2': 272, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 32, 'units1': 137, 'act1': 'elu', 'units2': 25, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -521, {'epochs': 106, 'units1': 180, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 18, -197, {'epochs': 96, 'units1': 185, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 11, -205, {'epochs': 64, 'units1': 186, 'act1': 'selu', 'units2': 143, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 12, -177, {'epochs': 138, 'units1': 196, 'act1': 'tanh', 'units2': 230, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 122, 'units1': 212, 'act1': 'tanh', 'units2': 22, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -284, {'epochs': 96, 'units1': 185, 'act1': 'tanh', 'units2': 185, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
5, 64, 1833, {'epochs': 42, 'units1': 132, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 36, 'units1': 128, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 18, -197, {'epochs': 42, 'units1': 132, 'act1': 'linear', 'units2': 22, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 23, -202, {'epochs': 169, 'units1': 237, 'act1': 'selu', 'units2': 208, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 96, 'units1': 186, 'act1': 'tanh', 'units2': 191, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 128, 'units1': 213, 'act1': 'selu', 'units2': 263, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 31, -202, {'epochs': 118, 'units1': 208, 'act1': 'tanh', 'units2': 23, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 100, 'units1': 176, 'act1': 'tanh', 'units2': 176, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 52, 1361, {'epochs': 160, 'units1': 201, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 40, 'units1': 138, 'act1': 'linear', 'units2': 28, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 96, 'units1': 185, 'act1': 'tanh', 'units2': 185, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -561, {'epochs': 106, 'units1': 180, 'act1': 'tanh', 'units2': 182, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 18, -194, {'epochs': 109, 'units1': 183, 'act1': 'tanh', 'units2': 180, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 118, 'units1': 176, 'act1': 'tanh', 'units2': 199, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 119, {'epochs': 118, 'units1': 208, 'act1': 'tanh', 'units2': 23, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 119, {'epochs': 68, 'units1': 176, 'act1': 'selu', 'units2': 128, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -194, {'epochs': 64, 'units1': 185, 'act1': 'selu', 'units2': 137, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 102, 'units1': 176, 'act1': 'tanh', 'units2': 183, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 10, 297, {'epochs': 91, 'units1': 255, 'act1': 'selu', 'units2': 203, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 38, 'units1': 128, 'act1': 'elu', 'units2': 23, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -198, {'epochs': 40, 'units1': 138, 'act1': 'linear', 'units2': 28, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 113, {'epochs': 160, 'units1': 201, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 244, 1801, {'epochs': 116, 'units1': 208, 'act1': 'tanh', 'units2': 16, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 102, {'epochs': 116, 'units1': 208, 'act1': 'tanh', 'units2': 16, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 22, -195, {'epochs': 32, 'units1': 138, 'act1': 'elu', 'units2': 31, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 94, {'epochs': 122, 'units1': 180, 'act1': 'selu', 'units2': 198, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 104, {'epochs': 112, 'units1': 217, 'act1': 'tanh', 'units2': 25, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 90, {'epochs': 36, 'units1': 128, 'act1': 'elu', 'units2': 16, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -207, {'epochs': 68, 'units1': 135, 'act1': 'linear', 'units2': 47, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
