Generation: 34
1, 9, -212, {'epochs': 174, 'units1': 75, 'act1': 'tanh', 'units2': 81, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -63895, {'epochs': 124, 'units1': 40, 'act1': 'selu', 'units2': 100, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -1194, {'epochs': 160, 'units1': 73, 'act1': 'tanh', 'units2': 80, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 206, 'units1': 191, 'act1': 'tanh', 'units2': 156, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 230, 'units1': 156, 'act1': 'linear', 'units2': 56, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 230, 'units1': 156, 'act1': 'linear', 'units2': 56, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 10, 303, {'epochs': 149, 'units1': 109, 'act1': 'elu', 'units2': 201, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 16, -172, {'epochs': 190, 'units1': 184, 'act1': 'elu', 'units2': 89, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -210, {'epochs': 192, 'units1': 185, 'act1': 'tanh', 'units2': 144, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 102, {'epochs': 191, 'units1': 181, 'act1': 'selu', 'units2': 83, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 110, {'epochs': 150, 'units1': 177, 'act1': 'tanh', 'units2': 122, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 11, -211, {'epochs': 184, 'units1': 203, 'act1': 'tanh', 'units2': 159, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -163, {'epochs': 65, 'units1': 153, 'act1': 'tanh', 'units2': 22, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 197, 'units1': 238, 'act1': 'selu', 'units2': 92, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 165, 'units1': 208, 'act1': 'tanh', 'units2': 134, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -209, {'epochs': 232, 'units1': 155, 'act1': 'linear', 'units2': 63, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 145, 'units1': 189, 'act1': 'tanh', 'units2': 124, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 49, 'units1': 320, 'act1': 'linear', 'units2': 176, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 107, 'units1': 47, 'act1': 'linear', 'units2': 194, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
4, 241, -64369, {'epochs': 44, 'units1': 180, 'act1': 'linear', 'units2': 130, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
6, 90, 1383, {'epochs': 164, 'units1': 113, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -201, {'epochs': 216, 'units1': 139, 'act1': 'tanh', 'units2': 239, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -209, {'epochs': 155, 'units1': 191, 'act1': 'tanh', 'units2': 114, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -192, {'epochs': 209, 'units1': 143, 'act1': 'tanh', 'units2': 239, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 85, 'units1': 13, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
16, 219, 7509, {'epochs': 156, 'units1': 136, 'act1': 'tanh', 'units2': 228, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 22, 'units1': 33, 'act1': 'linear', 'units2': 154, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 139, 'units1': 7, 'act1': 'elu', 'units2': 179, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 122, {'epochs': 37, 'units1': 222, 'act1': 'linear', 'units2': 172, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 194, 'units1': 36, 'act1': 'selu', 'units2': 137, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 145, 'units1': 185, 'act1': 'tanh', 'units2': 118, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -220, {'epochs': 213, 'units1': 61, 'act1': 'selu', 'units2': 182, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
2, 31, 303, {'epochs': 188, 'units1': 52, 'act1': 'selu', 'units2': 146, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -881, {'epochs': 174, 'units1': 79, 'act1': 'tanh', 'units2': 92, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
4, 339, -66397, {'epochs': 37, 'units1': 221, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -1195, {'epochs': 88, 'units1': 11, 'act1': 'elu', 'units2': 159, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 214, 'units1': 60, 'act1': 'selu', 'units2': 184, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
3, 231, 1145, {'epochs': 174, 'units1': 127, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
2, 202, 603, {'epochs': 256, 'units1': 252, 'act1': 'tanh', 'units2': 173, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 105, {'epochs': 117, 'units1': 45, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 20, -208, {'epochs': 196, 'units1': 40, 'act1': 'selu', 'units2': 135, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 153, 'units1': 188, 'act1': 'tanh', 'units2': 117, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 97, 'units1': 25, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -210, {'epochs': 197, 'units1': 45, 'act1': 'selu', 'units2': 134, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 194, 'units1': 36, 'act1': 'selu', 'units2': 137, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -210, {'epochs': 190, 'units1': 187, 'act1': 'elu', 'units2': 81, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 22, -1198, {'epochs': 159, 'units1': 181, 'act1': 'tanh', 'units2': 115, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 19, -1198, {'epochs': 89, 'units1': 12, 'act1': 'elu', 'units2': 149, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 108, {'epochs': 105, 'units1': 85, 'act1': 'elu', 'units2': 202, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
4, 413, -251, {'epochs': 236, 'units1': 152, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -65901, {'epochs': 144, 'units1': 139, 'act1': 'elu', 'units2': 228, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 65, -178, {'epochs': 28, 'units1': 40, 'act1': 'linear', 'units2': 148, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 84, {'epochs': 236, 'units1': 148, 'act1': 'linear', 'units2': 50, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 116, 'units1': 39, 'act1': 'selu', 'units2': 101, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 119, {'epochs': 182, 'units1': 81, 'act1': 'selu', 'units2': 202, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 110, 'units1': 40, 'act1': 'linear', 'units2': 201, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
5, 77, 1856, {'epochs': 180, 'units1': 184, 'act1': 'selu', 'units2': 87, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 185, 'units1': 204, 'act1': 'tanh', 'units2': 149, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 120, 'units1': 43, 'act1': 'selu', 'units2': 111, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 170, 'units1': 76, 'act1': 'tanh', 'units2': 92, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 110, 'units1': 27, 'act1': 'linear', 'units2': 161, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 126, 'units1': 43, 'act1': 'selu', 'units2': 97, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 161, 'units1': 79, 'act1': 'tanh', 'units2': 95, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 17, -196, {'epochs': 114, 'units1': 35, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -896, {'epochs': 194, 'units1': 230, 'act1': 'selu', 'units2': 93, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 11, -211, {'epochs': 127, 'units1': 37, 'act1': 'selu', 'units2': 99, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -192, {'epochs': 86, 'units1': 1, 'act1': 'elu', 'units2': 154, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, -196, {'epochs': 82, 'units1': 4, 'act1': 'elu', 'units2': 153, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -884, {'epochs': 190, 'units1': 143, 'act1': 'linear', 'units2': 220, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 84, {'epochs': 164, 'units1': 119, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 171, {'epochs': 180, 'units1': 81, 'act1': 'selu', 'units2': 197, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 246, 'units1': 1, 'act1': 'tanh', 'units2': 250, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -884, {'epochs': 18, 'units1': 36, 'act1': 'linear', 'units2': 153, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -197, {'epochs': 33, 'units1': 217, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 18, -194, {'epochs': 133, 'units1': 125, 'act1': 'linear', 'units2': 198, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -884, {'epochs': 204, 'units1': 232, 'act1': 'elu', 'units2': 84, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 233, 'units1': 156, 'act1': 'linear', 'units2': 53, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
4, 359, -66416, {'epochs': 124, 'units1': 36, 'act1': 'selu', 'units2': 98, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
