Generation: 16
1, 9, -192, {'epochs': 8, 'units1': 38, 'act1': 'elu', 'units2': 176, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
6, 78, 2378, {'epochs': 56, 'units1': 70, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 13, -183, {'epochs': 63, 'units1': 73, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
3, 31, 835, {'epochs': 53, 'units1': 77, 'act1': 'linear', 'units2': 25, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 34, 308, {'epochs': 142, 'units1': 115, 'act1': 'selu', 'units2': 26, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
3, 62, 801, {'epochs': 56, 'units1': 70, 'act1': 'linear', 'units2': 16, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 136, 'units1': 118, 'act1': 'selu', 'units2': 16, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 178, 'units1': 37, 'act1': 'elu', 'units2': 153, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 24, 'units1': 118, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 26, 'units1': 114, 'act1': 'elu', 'units2': 248, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 190, 'units1': 43, 'act1': 'linear', 'units2': 157, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 138, 'units1': 118, 'act1': 'selu', 'units2': 16, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 21, -191, {'epochs': 26, 'units1': 118, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
7, 87, 2880, {'epochs': 183, 'units1': 43, 'act1': 'linear', 'units2': 159, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 18, 'units1': 117, 'act1': 'linear', 'units2': 249, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
