Generation: 1
1, 15, -16.5, {'epochs': 81, 'units1': 27, 'act1': 'selu', 'units2': 45, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 7
2, 4, 99.5, {'epochs': 37, 'units1': 33, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -11.0, {'epochs': 120, 'units1': 88, 'act1': 'selu', 'units2': 67, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -31.0, {'epochs': 13, 'units1': 16, 'act1': 'linear', 'units2': 30, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -29.5, {'epochs': 18, 'units1': 22, 'act1': 'selu', 'units2': 41, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -54.5, {'epochs': 10, 'units1': 13, 'act1': 'selu', 'units2': 25, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -9.0, {'epochs': 12, 'units1': 15, 'act1': 'linear', 'units2': 27, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -49.0, {'epochs': 69, 'units1': 52, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -41.5, {'epochs': 48, 'units1': 38, 'act1': 'selu', 'units2': 38, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -6.0, {'epochs': 69, 'units1': 52, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 16, 8.0, {'epochs': 48, 'units1': 38, 'act1': 'selu', 'units2': 38, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 15, -14.0, {'epochs': 15, 'units1': 16, 'act1': 'selu', 'units2': 26, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 19, 6.5, {'epochs': 21, 'units1': 20, 'act1': 'selu', 'units2': 29, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -0.5, {'epochs': 27, 'units1': 24, 'act1': 'selu', 'units2': 33, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 13, -2.0, {'epochs': 27, 'units1': 24, 'act1': 'selu', 'units2': 33, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -0.5, {'epochs': 21, 'units1': 20, 'act1': 'selu', 'units2': 29, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 14, -11.0, {'epochs': 15, 'units1': 16, 'act1': 'selu', 'units2': 26, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 18, 'units1': 19, 'act1': 'linear', 'units2': 31, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 22, 'units1': 21, 'act1': 'selu', 'units2': 32, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 17, -4.0, {'epochs': 27, 'units1': 24, 'act1': 'selu', 'units2': 33, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 24, -7.0, {'epochs': 27, 'units1': 24, 'act1': 'selu', 'units2': 33, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 8
1, 25, 10.0, {'epochs': 37, 'units1': 33, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -12.0, {'epochs': 48, 'units1': 38, 'act1': 'selu', 'units2': 38, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
