Generation: 3
1, 18, -197, {'epochs': 1, 'units1': 221, 'act1': 'tanh', 'units2': 135, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -63892, {'epochs': 51, 'units1': 40, 'act1': 'selu', 'units2': 106, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -60901, {'epochs': 254, 'units1': 24, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 19, -195, {'epochs': 54, 'units1': 2, 'act1': 'linear', 'units2': 64, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 99, 'units1': 24, 'act1': 'linear', 'units2': 154, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 5, 'units1': 222, 'act1': 'tanh', 'units2': 136, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 13, -178, {'epochs': 34, 'units1': 243, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 34, 'units1': 243, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 202, -65400, {'epochs': 149, 'units1': 62, 'act1': 'elu', 'units2': 56, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 12, -1203, {'epochs': 91, 'units1': 38, 'act1': 'elu', 'units2': 55, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 28, -204, {'epochs': 126, 'units1': 40, 'act1': 'selu', 'units2': 229, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66646, {'epochs': 60, 'units1': 14, 'act1': 'linear', 'units2': 72, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 202, -66400, {'epochs': 54, 'units1': 13, 'act1': 'linear', 'units2': 68, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 252, 'units1': 173, 'act1': 'tanh', 'units2': 2, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
7, 67, 2848, {'epochs': 89, 'units1': 35, 'act1': 'elu', 'units2': 60, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -63892, {'epochs': 127, 'units1': 186, 'act1': 'elu', 'units2': 60, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
