Generation: 1
1, 16, -193, {'epochs': 161, 'units1': 114, 'act1': 'tanh', 'units2': 144, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -162, {'epochs': 190, 'units1': 26, 'act1': 'relu', 'units2': 94, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 188, 'units1': 208, 'act1': 'tanh', 'units2': 75, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 67, 'units1': 242, 'act1': 'sigmoid', 'units2': 117, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 157, 'units1': 7, 'act1': 'selu', 'units2': 44, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 116, 'units1': 254, 'act1': 'elu', 'units2': 243, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 236, 'units1': 17, 'act1': 'sigmoid', 'units2': 152, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 93, 'units1': 115, 'act1': 'softmax', 'units2': 74, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 206, 'units1': 46, 'act1': 'selu', 'units2': 161, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -203, {'epochs': 67, 'units1': 182, 'act1': 'sigmoid', 'units2': 143, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 389, 1565, {'epochs': 45, 'units1': 139, 'act1': 'linear', 'units2': 51, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 21, 'units1': 198, 'act1': 'softmax', 'units2': 18, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 210, 'units1': 115, 'act1': 'sigmoid', 'units2': 4, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 17, 'units1': 3, 'act1': 'sigmoid', 'units2': 64, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 18, -174, {'epochs': 175, 'units1': 102, 'act1': 'elu', 'units2': 49, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 24, -194, {'epochs': 232, 'units1': 131, 'act1': 'linear', 'units2': 126, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 29, 'units1': 253, 'act1': 'relu', 'units2': 169, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -211, {'epochs': 25, 'units1': 70, 'act1': 'elu', 'units2': 240, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 200, 'units1': 130, 'act1': 'softmax', 'units2': 56, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 170, 'units1': 133, 'act1': 'sigmoid', 'units2': 161, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
