Generation: 29
1, 200, -60904, {'epochs': 245, 'units1': 206, 'act1': 'linear', 'units2': 108, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
4, 357, -67409, {'epochs': 181, 'units1': 189, 'act1': 'selu', 'units2': 86, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 18, -1203, {'epochs': 142, 'units1': 95, 'act1': 'tanh', 'units2': 204, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -62644, {'epochs': 252, 'units1': 200, 'act1': 'linear', 'units2': 100, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 186, 'units1': 92, 'act1': 'tanh', 'units2': 205, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 292, 594, {'epochs': 226, 'units1': 159, 'act1': 'linear', 'units2': 50, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 114, 'units1': 35, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 233, 'units1': 156, 'act1': 'linear', 'units2': 53, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
15, 251, 7027, {'epochs': 126, 'units1': 143, 'act1': 'tanh', 'units2': 204, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 21, -221, {'epochs': 252, 'units1': 196, 'act1': 'linear', 'units2': 98, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 254, 'units1': 207, 'act1': 'linear', 'units2': 108, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -50925, {'epochs': 185, 'units1': 92, 'act1': 'elu', 'units2': 197, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 26, -200, {'epochs': 253, 'units1': 302, 'act1': 'tanh', 'units2': 116, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 117, 'units1': 45, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 144, 'units1': 129, 'act1': 'tanh', 'units2': 234, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 245, 'units1': 205, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -890, {'epochs': 149, 'units1': 141, 'act1': 'tanh', 'units2': 230, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
