Generation: 1
1, 9, -202.5, {'epochs': 14, 'units1': 30, 'act1': 'softmax', 'units2': 7, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
Generation: 2
1, 9, -215.0, {'epochs': 1, 'units1': 34, 'act1': 'linear', 'units2': 2, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 87, 'units1': 27, 'act1': 'elu', 'units2': 50, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -195.0, {'epochs': 14, 'units1': 34, 'act1': 'elu', 'units2': 40, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 9, -102.5, {'epochs': 11, 'units1': 9, 'act1': 'linear', 'units2': 2, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -210.0, {'epochs': 6, 'units1': 37, 'act1': 'tanh', 'units2': 45, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 21, -208.0, {'epochs': 12, 'units1': 21, 'act1': 'linear', 'units2': 41, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -45.5, {'epochs': 13, 'units1': 33, 'act1': 'elu', 'units2': 21, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -48.0, {'epochs': 6, 'units1': 35, 'act1': 'tanh', 'units2': 28, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 20, 'units1': 52, 'act1': 'relu', 'units2': 110, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 10, -216.5, {'epochs': 6, 'units1': 1, 'act1': 'tanh', 'units2': 17, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 23, -213.5, {'epochs': 2, 'units1': 22, 'act1': 'selu', 'units2': 25, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -65.5, {'epochs': 12, 'units1': 35, 'act1': 'linear', 'units2': 34, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 11, 'units1': 49, 'act1': 'elu', 'units2': 43, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -205.0, {'epochs': 12, 'units1': 38, 'act1': 'linear', 'units2': 2, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -43.0, {'epochs': 72, 'units1': 122, 'act1': 'linear', 'units2': 38, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 4, 'units1': 10, 'act1': 'relu', 'units2': 29, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 4, 'units1': 20, 'act1': 'tanh', 'units2': 2, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 20, -209.0, {'epochs': 3, 'units1': 24, 'act1': 'tanh', 'units2': 42, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 9, 'units1': 16, 'act1': 'linear', 'units2': 39, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -43.0, {'epochs': 6, 'units1': 9, 'act1': 'relu', 'units2': 22, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -43.0, {'epochs': 3, 'units1': 24, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
5, 75, 248.5, {'epochs': 2, 'units1': 21, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -45.5, {'epochs': 6, 'units1': 11, 'act1': 'relu', 'units2': 23, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 5, 'units1': 19, 'act1': 'selu', 'units2': 28, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 8, 'units1': 29, 'act1': 'elu', 'units2': 27, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -209.0, {'epochs': 8, 'units1': 32, 'act1': 'tanh', 'units2': 29, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 22, -207.0, {'epochs': 30, 'units1': 46, 'act1': 'tanh', 'units2': 52, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 4, 'units1': 24, 'act1': 'elu', 'units2': 29, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
