Generation: 1
1, 9, -215.0, {'epochs': 10, 'units1': 36, 'act1': 'selu', 'units2': 47, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 12, -217.0, {'epochs': 3, 'units1': 30, 'act1': 'linear', 'units2': 2, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 9, 'units1': 5, 'act1': 'sigmoid', 'units2': 25, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 77, -229.5, {'epochs': 33, 'units1': 70, 'act1': 'linear', 'units2': 55, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
4, 41, 114.5, {'epochs': 12, 'units1': 4, 'act1': 'tanh', 'units2': 25, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -210.0, {'epochs': 11, 'units1': 43, 'act1': 'elu', 'units2': 23, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -191.5, {'epochs': 2, 'units1': 28, 'act1': 'relu', 'units2': 42, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 10, 'units1': 31, 'act1': 'elu', 'units2': 40, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 2, 'units1': 23, 'act1': 'sigmoid', 'units2': 22, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 6, 'units1': 46, 'act1': 'softmax', 'units2': 9, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 6, 'units1': 30, 'act1': 'softmax', 'units2': 11, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 3, 'units1': 40, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 11, 'units1': 49, 'act1': 'linear', 'units2': 13, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 4, 'units1': 12, 'act1': 'selu', 'units2': 28, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 10, 'units1': 8, 'act1': 'sigmoid', 'units2': 23, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
