Generation: 2
1, 9, -197, {'epochs': 6, 'units1': 232, 'act1': 'relu', 'units2': 32, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 13, 'units1': 234, 'act1': 'linear', 'units2': 120, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -203, {'epochs': 91, 'units1': 91, 'act1': 'linear', 'units2': 170, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -195, {'epochs': 113, 'units1': 33, 'act1': 'selu', 'units2': 223, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 23, 'units1': 152, 'act1': 'selu', 'units2': 234, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 268, 1787, {'epochs': 220, 'units1': 203, 'act1': 'selu', 'units2': 114, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -204, {'epochs': 186, 'units1': 172, 'act1': 'relu', 'units2': 115, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 13, -1210, {'epochs': 247, 'units1': 237, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 13, -175, {'epochs': 90, 'units1': 135, 'act1': 'selu', 'units2': 230, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 9, 306, {'epochs': 177, 'units1': 161, 'act1': 'relu', 'units2': 127, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 28, 'units1': 155, 'act1': 'selu', 'units2': 226, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 26, 'units1': 122, 'act1': 'linear', 'units2': 15, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 4, 'units1': 178, 'act1': 'selu', 'units2': 61, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
4, 86, 386, {'epochs': 89, 'units1': 91, 'act1': 'linear', 'units2': 161, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
2, 9, 300, {'epochs': 253, 'units1': 186, 'act1': 'tanh', 'units2': 232, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 92, 'units1': 135, 'act1': 'selu', 'units2': 227, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
2, 11, 306, {'epochs': 87, 'units1': 61, 'act1': 'tanh', 'units2': 101, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -188, {'epochs': 9, 'units1': 187, 'act1': 'selu', 'units2': 49, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 145, {'epochs': 250, 'units1': 186, 'act1': 'tanh', 'units2': 239, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 92, 'units1': 135, 'act1': 'selu', 'units2': 227, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 87, 'units1': 61, 'act1': 'tanh', 'units2': 101, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 182, 'units1': 168, 'act1': 'relu', 'units2': 112, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 250, 615, {'epochs': 204, 'units1': 139, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 220, 'units1': 166, 'act1': 'linear', 'units2': 133, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 113, 'units1': 108, 'act1': 'softmax', 'units2': 34, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 121, 'units1': 107, 'act1': 'softmax', 'units2': 33, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
5, 75, 1856, {'epochs': 252, 'units1': 182, 'act1': 'tanh', 'units2': 229, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
