Generation: 2
1, 200, -66901, {'epochs': 55, 'units1': 45, 'act1': 'softmax', 'units2': 80, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -209, {'epochs': 156, 'units1': 78, 'act1': 'linear', 'units2': 246, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 94, 'units1': 128, 'act1': 'softmax', 'units2': 227, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 180, 'units1': 238, 'act1': 'softmax', 'units2': 5, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 23, -196, {'epochs': 108, 'units1': 24, 'act1': 'elu', 'units2': 66, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 109, 'units1': 49, 'act1': 'relu', 'units2': 186, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 57, 'units1': 222, 'act1': 'linear', 'units2': 223, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 18, -1197, {'epochs': 37, 'units1': 54, 'act1': 'elu', 'units2': 49, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 37, 'units1': 54, 'act1': 'elu', 'units2': 49, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 22, -195, {'epochs': 69, 'units1': 220, 'act1': 'elu', 'units2': 136, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 107, 'units1': 52, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 60, -173, {'epochs': 8, 'units1': 223, 'act1': 'tanh', 'units2': 173, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -197, {'epochs': 53, 'units1': 36, 'act1': 'softmax', 'units2': 87, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 155, 'units1': 17, 'act1': 'relu', 'units2': 227, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -61643, {'epochs': 109, 'units1': 14, 'act1': 'linear', 'units2': 164, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 53, 'units1': 122, 'act1': 'linear', 'units2': 46, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 142, 'units1': 66, 'act1': 'selu', 'units2': 55, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 104, {'epochs': 124, 'units1': 30, 'act1': 'elu', 'units2': 54, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
