Generation: 22
1, 21, -194, {'epochs': 52, 'units1': 33, 'act1': 'elu', 'units2': 96, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 129, 'units1': 89, 'act1': 'tanh', 'units2': 198, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -63895, {'epochs': 101, 'units1': 63, 'act1': 'tanh', 'units2': 165, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -62892, {'epochs': 96, 'units1': 32, 'act1': 'linear', 'units2': 192, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 14, 'units1': 11, 'act1': 'linear', 'units2': 49, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 100, 'units1': 33, 'act1': 'linear', 'units2': 192, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 117, 'units1': 41, 'act1': 'selu', 'units2': 105, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 216, 'units1': 147, 'act1': 'selu', 'units2': 207, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 44, 'units1': 184, 'act1': 'linear', 'units2': 132, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 254, 'units1': 207, 'act1': 'linear', 'units2': 108, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
9, 196, 2895, {'epochs': 89, 'units1': 15, 'act1': 'elu', 'units2': 148, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -1195, {'epochs': 14, 'units1': 251, 'act1': 'selu', 'units2': 225, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
4, 58, 1344, {'epochs': 241, 'units1': 201, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 188, 'units1': 56, 'act1': 'selu', 'units2': 148, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 12, 'units1': 164, 'act1': 'elu', 'units2': 18, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 205, 'units1': 159, 'act1': 'elu', 'units2': 254, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 138, {'epochs': 105, 'units1': 44, 'act1': 'tanh', 'units2': 197, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 21, -197, {'epochs': 121, 'units1': 47, 'act1': 'selu', 'units2': 100, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -209, {'epochs': 108, 'units1': 56, 'act1': 'tanh', 'units2': 164, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -60901, {'epochs': 289, 'units1': 226, 'act1': 'linear', 'units2': 163, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 153, 'units1': 116, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -62889, {'epochs': 98, 'units1': 51, 'act1': 'tanh', 'units2': 171, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 128, 'units1': 80, 'act1': 'tanh', 'units2': 192, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
3, 80, -118, {'epochs': 244, 'units1': 193, 'act1': 'linear', 'units2': 96, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 121, 'units1': 12, 'act1': 'linear', 'units2': 197, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 12, -206, {'epochs': 106, 'units1': 34, 'act1': 'linear', 'units2': 204, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -193, {'epochs': 145, 'units1': 217, 'act1': 'linear', 'units2': 198, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 153, 'units1': 127, 'act1': 'linear', 'units2': 212, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 65, -178, {'epochs': 69, 'units1': 222, 'act1': 'tanh', 'units2': 44, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
