Generation: 1
1, 200, -48.0, {'epochs': 76, 'units1': 58, 'act1': 'relu', 'units2': 84, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 66, -223.0, {'epochs': 15, 'units1': 76, 'act1': 'relu', 'units2': 20, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
Generation: 14
4, 408, 265.0, {'epochs': 81, 'units1': 56, 'act1': 'relu', 'units2': 50, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -73.0, {'epochs': 63, 'units1': 71, 'act1': 'relu', 'units2': 40, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 24, 'units1': 24, 'act1': 'relu', 'units2': 12, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 96, 'units1': 53, 'act1': 'relu', 'units2': 60, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -214.0, {'epochs': 41, 'units1': 30, 'act1': 'relu', 'units2': 25, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 22, 'units1': 19, 'act1': 'relu', 'units2': 12, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 4, 'units1': 21, 'act1': 'relu', 'units2': 51, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 60, 'units1': 42, 'act1': 'relu', 'units2': 37, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
7, 100, 448.5, {'epochs': 60, 'units1': 42, 'act1': 'relu', 'units2': 37, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
Generation: 15
