Generation: 4
1, 19, -195, {'epochs': 53, 'units1': 36, 'act1': 'softmax', 'units2': 87, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 122, {'epochs': 171, 'units1': 243, 'act1': 'elu', 'units2': 219, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 106, 'units1': 14, 'act1': 'linear', 'units2': 168, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 59, 'units1': 241, 'act1': 'selu', 'units2': 99, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 237, 'units1': 179, 'act1': 'relu', 'units2': 13, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 112, 'units1': 234, 'act1': 'tanh', 'units2': 102, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 72, 'units1': 141, 'act1': 'selu', 'units2': 253, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 183, 'units1': 64, 'act1': 'relu', 'units2': 90, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 250, 'units1': 210, 'act1': 'selu', 'units2': 117, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 30, -200, {'epochs': 103, 'units1': 185, 'act1': 'relu', 'units2': 225, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 252, 'units1': 85, 'act1': 'linear', 'units2': 29, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 20, -1196, {'epochs': 97, 'units1': 105, 'act1': 'relu', 'units2': 38, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 14, 311, {'epochs': 102, 'units1': 182, 'act1': 'relu', 'units2': 230, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
3, 224, -214, {'epochs': 106, 'units1': 50, 'act1': 'elu', 'units2': 165, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 140, 'units1': 141, 'act1': 'linear', 'units2': 142, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 16, -189, {'epochs': 57, 'units1': 220, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 93, {'epochs': 63, 'units1': 79, 'act1': 'linear', 'units2': 167, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 22, -195, {'epochs': 101, 'units1': 45, 'act1': 'linear', 'units2': 198, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
